feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Micromonospora.chokoriensis	Group	Vespertilio murinus	-2.42945051489794	1.06808725230884	10	9	0.0525136542964206	0.193338493531107
Ornithinimicrobium.cryptoxanthini	Group	Vespertilio murinus	-2.00539452047687	0.881516244155465	10	8	0.0524843926092026	0.193338493531107
Paenarthrobacter.aurescens	Group	Vespertilio murinus	-2.95356768885175	1.29885645974241	10	7	0.0525632765330204	0.193338493531107
Arthrobacter.sp..CJ23	Group	Vespertilio murinus	-2.64502556334858	1.16290800898295	10	8	0.0525208722831914	0.193338493531107
Streptomyces.nodosus	Group	Vespertilio murinus	-2.32968643591911	1.02385274566571	10	9	0.0524455826697016	0.193338493531107
Streptomyces.sp..KMM.9044	Group	Vespertilio murinus	-2.99890502552785	1.31867548995334	10	9	0.05254652181848	0.193338493531107
Kroppenstedtia.eburnea	Group	Vespertilio murinus	-2.75284446651213	1.2101155564034	10	7	0.0524906893380656	0.193338493531107
Sutcliffiella.sp..NC1	Group	Vespertilio murinus	-2.60199887145161	1.14424431773676	10	6	0.0525621726624013	0.193338493531107
Virgibacillus.dokdonensis	Group	Vespertilio murinus	-2.35661234524053	1.03553676582597	10	8	0.0524187166317539	0.193338493531107
Sphingomonas.aliaeris	Group	Vespertilio murinus	-2.16993781141744	0.95410202897643	10	8	0.0525346307052652	0.193338493531107
Allorhizobium.pseudoryzae	Group	Vespertilio murinus	-3.43482895720579	1.50990849514977	10	9	0.0524908369078243	0.193338493531107
Lysobacter.auxotrophicus	Group	Vespertilio murinus	-3.49763379474635	1.53783211536785	10	9	0.0525290735635169	0.193338493531107
Klebsiella.phage.vB.KvM.Eowyn	Group	Vespertilio murinus	-0.740979596638953	0.325781058260916	10	3	0.0525226292260618	0.193338493531107
Aminayvirus.aminay	Group	Vespertilio murinus	-1.99896579732289	0.87832248177577	10	4	0.05240639684867	0.193338493531107
Acetobacter.senegalensis	Group	Vespertilio murinus	-2.57870189712446	1.1341428794674	10	8	0.0525857894311443	0.193364578790944
Litorilituus.sediminis	Group	Vespertilio murinus	-3.7316609960141	1.64157825964983	10	9	0.0526256666815482	0.193454480949848
Streptococcus.ruminantium	Group	Vespertilio murinus	-4.39141723920158	1.93216454686636	10	9	0.0526600682488001	0.193484870161993
Polynucleobacter.sp..MWH.UH35A	Group	Vespertilio murinus	-2.36045528894465	1.03867524746452	10	5	0.0526792532828604	0.193484870161993
Pseudoalteromonas.sp..NC201	Group	Vespertilio murinus	-3.14504362349204	1.38402368841039	10	8	0.0526933864332794	0.193484870161993
Methanobrevibacter.olleyae	Group	Vespertilio murinus	-4.04629434426227	1.7806542304174	10	8	0.0526956560812829	0.193484870161993
Amycolatopsis.sp..2.2	Group	Vespertilio murinus	-2.41403224746726	1.06244627723008	10	10	0.0527136412437386	0.1934942469424
Streptomyces.sp..SN.593	Group	Vespertilio murinus	-3.52941315451369	1.55347057147669	10	10	0.0527294051631086	0.193495467175949
Syntrophus.aciditrophicus	Group	Vespertilio murinus	-2.16750495153662	0.954494698043453	10	5	0.0528211192489581	0.193605382713442
Mycoplasma.cottewii	Group	Vespertilio murinus	-2.69489360958478	1.1867201055554	10	9	0.0528182111689804	0.193605382713442
Turicibacter.bilis	Group	Vespertilio murinus	-2.33114355173566	1.02645801909003	10	8	0.052803340517904	0.193605382713442
Brucella.pituitosa	Group	Vespertilio murinus	-6.01761412799152	2.64933504440342	10	9	0.0527776485561176	0.193605382713442
Chryseobacterium.sp..CY350	Group	Vespertilio murinus	-2.65954339780838	1.1713298299026	10	10	0.0528464272958311	0.193641540579318
Paludibacterium.paludis	Group	Vespertilio murinus	-3.64849866896799	1.60704834617996	10	8	0.0528648114603344	0.193652314023118
Curtobacterium.sp..TXMA1	Group	Vespertilio murinus	-3.14384306080865	1.38506181541429	10	7	0.0529051719571593	0.193686993042575
Thalassomonas.actiniarum	Group	Vespertilio murinus	-2.76876053221045	1.21975760345048	10	10	0.0528964723036509	0.193686993042575
Variovorax.sp..RA8	Group	Vespertilio murinus	-3.30382967634173	1.45571532179593	10	9	0.0529269709541728	0.193710241913127
Romboutsia.sp..13368	Group	Vespertilio murinus	-3.17324678644527	1.39908347958592	10	9	0.0530483631924309	0.193783879791812
Aerococcus.sanguinicola	Group	Vespertilio murinus	-3.15566123777	1.39108058439379	10	8	0.0530147024630725	0.193783879791812
Loigolactobacillus.bifermentans	Group	Vespertilio murinus	-2.52202243795555	1.11202355064316	10	9	0.0530592858514083	0.193783879791812
Burkholderia.stabilis	Group	Vespertilio murinus	-2.97048339592181	1.30959519797787	10	8	0.0530354640583031	0.193783879791812
Sneathiella.marina	Group	Vespertilio murinus	-2.86440525789291	1.26295922617286	10	8	0.053054887408984	0.193783879791812
Endozoicomonas.sp..SCSIO.W0465	Group	Vespertilio murinus	-2.84571079068523	1.25487277779704	10	7	0.0530782723966398	0.193783879791812
Pseudomonas.sp..FP2196	Group	Vespertilio murinus	-2.56868367099644	1.13275984448515	10	9	0.0530861812811925	0.193783879791812
Candidatus.Arsenophonus.lipoptenae	Group	Vespertilio murinus	-2.8966298325785	1.2772517811362	10	7	0.0530672775714079	0.193783879791812
Sugiyamaella.lignohabitans	Group	Vespertilio murinus	-3.36482736319392	1.48346350303871	10	10	0.0530372513387437	0.193783879791812
Planococcus.maritimus	Group	Vespertilio murinus	-3.47801010665076	1.53406434249093	10	8	0.0531231852739836	0.193814212808846
