#Classification	D1	D2	D3	D4	D5	P1	P2	P3	P4	P5
Geobacter benzoatilyticus	8	0	0	0	5	19	0	2	4	18
Geobacter pickeringii	9	1	1	0	14	52	5	7	8	50
Geobacter sp. DSM 9736	1	1	0	0	6	22	3	3	1	23
Geobacter sp. SVR	3	12	1	0	17	39	10	5	49	149
Geobacter sp. FeAm09	12	1	0	0	2	58	6	9	10	47
Geobacter sulfurreducens	24	3	0	0	10	55	73	9	15	39
Thermodesulfomicrobium sp. WS	0	14	0	0	14	32	7	0	107	123
Desulfomicrobium baculatum	1	1	0	0	1	9	4	1	1	4
Desulfomicrobium orale	2	2	0	0	4	37	366	3	27	32
Desulfomicrobium sp. ZS1	8	0	2	0	7	20	2	3	3	11
Desulfohalobium retbaense	19	2	17	0	10	27	2	5	1	8
Desulfobaculum bizertense	0	3	2	0	3	29	3	0	1	18
Lawsonia intracellularis	1	0	0	0	6	50	389	1	151	15
Oleidesulfovibrio alaskensis	3	107	1	0	44	62	29	1	379	987
Salidesulfovibrio onnuriiensis	5	1	0	0	2	32	2	2	7	18
Oceanidesulfovibrio marinus	6	0	0	0	6	47	2	6	9	38
Megalodesulfovibrio gigas	8	30	4	0	9	87	15	7	67	659
Nitratidesulfovibrio vulgaris	4	2	1	0	3	54	2	6	7	37
Nitratidesulfovibrio liaohensis	8	6	1	0	4	100	14	10	114	127
Solidesulfovibrio magneticus	1	2	0	0	1	36	4	9	7	30
Solidesulfovibrio carbinolicus	3	0	0	0	2	54	8	2	6	42
Solidesulfovibrio carbinoliphilus	10	3	1	0	11	63	3	14	14	79
Desulfocurvibacter africanus	15	1	1	0	7	18	3	0	7	19
Desulfolutivibrio sulfoxidireducens	4	6	0	0	9	89	1095	19	72	91
Desulfolutivibrio sulfodismutans	14	0	1	1	6	69	6	10	10	42
Maridesulfovibrio hydrothermalis	1	2	0	0	6	14	2	2	2	6
Maridesulfovibrio salexigens	3	0	0	0	4	11	5	1	3	5
Maridesulfovibrio sp.	40	16	41	0	38	141	373	12	47	128
Desulfovibrio sp. G11	1	0	1	0	3	25	77	11	10	11
Candidatus Desulfovibrio trichonymphae	2	1	0	0	0	31	0	0	25	16
Desulfovibrio fairfieldensis	2	0	4	0	8	43	204	4	14	21
Desulfovibrio subterraneus	3	1	0	0	8	50	4	4	4	33
Desulfovibrio mangrovi	4	0	2	0	1	14	2	4	9	13
Desulfovibrio ferrophilus	4	2	0	0	2	22	1	3	1	16
Desulfovibrio piger	8	2	1	1	31	217	351	12	491	227
Desulfovibrio desulfuricans	30	60	49	0	117	224	2420	8	993	1313
Pseudodesulfovibrio nedwellii	1	0	1	0	2	12	0	1	5	18
Pseudodesulfovibrio portus	1	1	0	0	7	23	3	1	5	21
Pseudodesulfovibrio thermohalotolerans	2	1	0	0	2	17	1	6	1	13
Pseudodesulfovibrio sediminis	2	1	0	0	4	20	1	3	2	7
Pseudodesulfovibrio profundus	2	2	0	0	1	24	7	0	7	11
Pseudodesulfovibrio tunisiensis	4	0	0	0	1	32	0	0	9	20
Pseudodesulfovibrio aespoeensis	4	3	1	0	9	41	171	0	366	37
Pseudodesulfovibrio mercurii	6	12	2	0	1	91	1442	5	42	64
Pseudodesulfovibrio cashew	9	3	0	0	1	25	2	4	2	14
Pseudodesulfovibrio sp. zrk46	12	3	14	0	12	17	5	0	4	13
uncultured Pseudodesulfovibrio sp.	13	3	4	0	18	209	7	16	9	78
Pseudodesulfovibrio piezophilus	13	0	2	0	10	19	4	0	4	4
Pseudodesulfovibrio indicus	14	0	1	0	7	44	5	6	15	60
Thermospira aquatica	0	0	0	0	2	34	4	1	3	15
Turneriella parva	4	10	0	0	1	27	3	2	8	19
Leptospira weilii	1	2	0	0	5	26	0	0	2	10
Leptospira mayottensis	2	6	0	0	6	53	4	4	32	16
Leptospira tipperaryensis	3	2	3	0	2	34	1	5	3	13
Leptospira interrogans	3	2	0	0	7	48	9	15	10	31
Leptospira kobayashii	4	1	0	0	8	25	1	2	2	8
Leptospira borgpetersenii	6	2	0	0	9	37	14	1	5	33
Leptospira biflexa	6	2	0	0	5	56	265	23	158	11
Leptospira kmetyi	7	1	0	0	5	29	3	4	8	11
Leptospira kirschneri	7	4	0	0	9	50	36	7	8	44
Leptospira santarosai	7	3	1	0	14	44	0	7	4	17
Leptospira noguchii	7	1	2	0	10	126	149	15	150	58
Leptospira sp. severe 002	1	1	0	0	0	2	5	0	6	5
Leptospira sp. GIMC2001	9	6	0	0	11	53	61	1	66	27
Brachyspira hampsonii	13	1	1	0	9	77	35	23	11	79
Brachyspira intermedia	22	6	3	2	12	118	24	12	20	64
Brachyspira hyodysenteriae	25	17	1	0	13	158	275	19	201	91
Brachyspira pilosicoli	57	11	2	0	58	204	43	23	28	157
Brachyspira murdochii	60	3	2	0	12	114	295	8	265	37
Gracilinema caldarium	2	1	0	0	3	47	10	3	83	53
Leadbettera azotonutricia	3	0	0	0	4	31	0	1	2	22
Breznakiella homolactica	15	3	1	0	13	29	5	1	13	24
Parasphaerochaeta coccoides	0	0	0	0	1	15	0	3	4	1
Sphaerochaeta pleomorpha	0	1	2	0	0	20	7	0	10	11
Sphaerochaeta associata	0	1	0	0	2	9	1	1	5	9
Sphaerochaeta globosa	1	0	0	0	1	12	0	1	0	6
uncultured Sphaerochaeta sp.	24	5	3	0	61	154	13	42	26	134
Oceanispirochaeta crateris	1	0	0	0	6	19	4	0	7	17
Sediminispirochaeta smaragdinae	1	6	0	1	5	47	2	5	9	17
Salinispira pacifica	2	1	0	0	0	29	2	1	0	8
Entomospira entomophilus	0	0	0	0	9	10	2	3	4	12
Entomospira culicis	1	2	0	0	3	13	0	1	2	20
Entomospira nematocera	3	0	1	0	18	24	1	4	6	8
Marispirochaeta sp.	7	1	0	0	0	22	0	5	3	18
Marispirochaeta aestuarii	8	29	0	1	100	152	22	4	429	799
Spirochaeta africana	2	3	1	0	2	29	141	3	10	23
Spirochaeta thermophila	14	8	0	0	12	42	23	6	4	17
Thiospirochaeta perfilievii	41	7	2	0	44	117	550	25	440	35
Borrelia duttonii	0	0	0	0	0	0	0	1	0	2
Borrelia venezuelensis	0	0	0	0	0	2	0	3	0	2
Borrelia puertoricensis	0	0	0	0	0	21	6	1	4	5
Borrelia sp. RT5S	0	0	0	0	0	4	0	2	1	1
Borrelia recurrentis	0	0	0	0	2	4	0	0	1	3
Borrelia maritima	0	1	0	0	0	0	0	0	0	0
Borrelia turicatae	0	1	0	0	2	6	2	0	0	3
Borrelia sp. BU AG58	0	1	0	0	2	14	12	1	2	6
Borrelia sp. RT1S	0	4	0	0	1	12	367	0	7	5
Candidatus Borrelia fainii	1	1	0	0	12	8	3	4	2	5
Borrelia coriaceae	1	0	0	0	4	60	458	3	421	21
Borrelia hermsii	1	5	0	0	3	42	6	3	4	30
Borrelia crocidurae	2	4	0	0	4	40	7	7	7	15
Borrelia turcica	5	1	0	0	3	21	6	12	14	15
Borrelia anserina	6	0	0	0	2	20	2	1	6	10
Borrelia sp. A-FGy1	2	3	0	0	6	37	4	4	4	12
Borrelia sp. HM	2	1	0	0	3	75	736	12	642	12
Borrelia sp. P9F1	3	3	0	0	32	58	2	11	134	75
Borrelia miyamotoi	9	2	0	0	7	80	9	10	12	83
Borrelia parkeri	14	0	0	0	25	11	2	0	3	3
Borreliella spielmanii	0	0	0	0	1	14	3	1	1	5
