Gene Family	D1	D2	D3	D5	P1	P2	P3	P4	P5
UniRef90_A0A376QQL1	0.0	0.0	0.0	0.5719014749	0.5573865841	0.0	0.0	1.0989010989	0.0
UniRef90_A0A376QQT9	0.0	0.0	0.0	0.0	0.6281407035	0.0	0.0	1.4196781089	0.0
UniRef90_A0A376QR70	0.0	0.9149130833	0.0	0.0	0.9149130833	0.0	0.0	0.0	0.0
UniRef90_A0A376QRG5	0.0	1.1614401858	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376QRL2	0.0	0.0	0.0	1.2706480305	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376QRS0	0.0	0.0	0.0	0.7037297678	0.7027406887	1.4054813774	0.0	0.0	0.7027406887
UniRef90_A0A376QRY7	0.0	1.8281535649	0.0	0.6093845216	1.2187690433	0.6093845216	0.0	0.6093845216	0.0
UniRef90_A0A376QRZ3	0.0	0.0	0.0	0.0	0.4780114723	0.0	0.0	0.0	0.0
UniRef90_A0A376QSB1	0.0	0.5991611744	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376QSC4	0.0	0.0	0.0	0.0	0.3702332469	0.0	0.0	0.4454342984	0.0
UniRef90_A0A376QSH9	0.0	1.5360983103	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376QSJ0	0.0	0.8169759562	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376QSK5	0.0	0.0	0.0	0.0	0.4230118443	0.0	0.0	0.4230118443	0.0
UniRef90_A0A376QSP7	0.0	0.204618838	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376QSS4	0.0	1.0183299389	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376QSS9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8554319932	0.0
UniRef90_A0A376QSV7	0.0	0.0	0.0	0.0	0.0	0.7299641112	0.0	0.0	0.0
